feature,importance
elo_diff,0.0997647
surface_elo_diff,0.041525573
rank_edge,0.020341333
tourney_level_D,0.011862518
opponent_surface_elo_avg_last_100_diff,0.0105892
opponent_elo_avg_last_100_diff,0.008559194
hand_unknown_sum,0.008023063
matches_last_30_days_diff,0.0076757465
surface_game_margin_avg_last_25_diff,0.0074667684
surface_point_win_rate_last_25_diff,0.007354978
surface_matches_diff,0.006358908
point_win_rate_last_10_diff,0.006006987
season_surface_matches_diff,0.0059317215
reliability_career_matches_min,0.005265257
reliability_surface_matches_min,0.004997906
quality_weighted_point_win_rate_last_10_diff,0.004780641
round_RR,0.004770048
draw_size_rounds,0.0045830677
game_margin_avg_last_100_diff,0.004495881
draw_size,0.0041842726
surface_straight_set_win_pct_last_25_diff,0.0041406816
surface_serve_elo_diff,0.0038579097
opponent_elo_avg_last_50_diff,0.0038199085
surface_point_win_rate_last_10_diff,0.0034217576
age_diff,0.003353052
reliability_surface_matches_imbalance,0.0032924565
service_points_won_rate_last_10_diff,0.0032766685
straight_set_win_pct_last_100_diff,0.0032227167
best_of,0.003218591
game_margin_avg_last_10_diff,0.0031681086
surface_vs_opp_hand_point_win_rate_diff,0.0030853986
serve_elo_diff,0.0030373058
season_point_win_rate_diff,0.0029730052
surface_game_margin_avg_last_10_diff,0.0029074436
surface_return_elo_diff,0.0028744591
surface_elo_shrunk_diff,0.0028597324
tourney_matches_diff,0.0028433818
best_of_5,0.0027322848
days_since_last_match_diff,0.0024841197
game_margin_avg_last_50_diff,0.0024717355
quality_weighted_point_win_rate_last_25_diff,0.002440436
reliability_matches_last_30_days_min,0.002420496
days_since_last_surface_match_diff,0.002399614
season_service_points_won_rate_diff,0.0023868226
surface_Clay,0.0023561162
surface_vs_opp_hand_matches_diff,0.002352164
minutes_last_30_days_diff,0.0022940233
point_win_rate_last_50_diff,0.0022668282
reliability_season_surface_matches_imbalance,0.0022267085
surface_Grass,0.0022191028
win_rate_last_100_sum,0.002208931
surface_win_rate_sum,0.0021861866
point_win_rate_last_50_sum,0.002151232
tourney_level_G,0.0021169875
opponent_surface_elo_avg_last_50_diff,0.0021086028
elo_sum,0.0020909887
game_margin_avg_last_25_diff,0.0020758675
opponent_elo_avg_last_10_diff,0.0020666951
surface_serve_elo_shrunk_diff,0.002049092
surface_service_points_won_rate_last_10_diff,0.0019939449
reliability_matches_last_14_days_min,0.0019914021
season_surface_point_win_rate_diff,0.001982469
surface_straight_set_win_pct_last_10_diff,0.0019747373
point_win_rate_last_100_sum,0.0019556421
rank_change_28_days_diff,0.0019518532
win_rate_last_10_sum,0.001950235
surface_win_rate_diff,0.0019427764
win_rate_last_50_sum,0.0019174444
win_rate_last_25_diff,0.0019111057
opponent_elo_avg_last_25_diff,0.0019090776
h2h_diff,0.0018930953
elo_delta_avg_last_100_diff,0.0018925307
surface_service_points_won_rate_last_25_diff,0.00189234
rank_change_91_days_diff,0.0018898202
ace_rate_last_100_sum,0.0018870134
tiebreak_win_rate_last_50_diff,0.0018824625
round_order,0.0018764806
surface_point_win_rate_last_25_sum,0.0018707196
point_win_rate_last_25_diff,0.001868395
quality_weighted_point_win_rate_last_100_sum,0.0018588568
performance_vs_expectation_std_last_50_diff,0.0018562558
return_points_won_rate_last_25_diff,0.001851786
elo_delta_avg_last_50_diff,0.0018371319
surface_h2h_diff,0.0018295333
win_rate_last_50_diff,0.0018243336
surface_vs_opp_hand_performance_vs_expectation_diff,0.0018185119
career_win_rate_sum,0.0018132577
quality_weighted_win_rate_last_100_sum,0.0018033566
return_points_won_rate_last_100_sum,0.0018017741
game_margin_avg_last_25_sum,0.0018003937
quality_weighted_performance_vs_expectation_last_50_diff,0.0017943128
opponent_surface_elo_avg_last_10_diff,0.00179395
surface_Carpet,0.0017939253
career_matches_sum,0.0017912824
surface_elo_sum,0.0017828619
quality_weighted_point_win_rate_last_10_sum,0.0017713892
surface_return_points_won_rate_last_10_diff,0.0017690412
best_of_3_win_rate_diff,0.0017573982
performance_vs_expectation_std_last_100_diff,0.0017563251
win_rate_last_25_sum,0.0017542467
straight_set_win_pct_last_50_sum,0.0017458174
return_points_won_rate_last_10_diff,0.0017337109
performance_vs_expectation_last_50_diff,0.001732773
df_rate_last_50_sum,0.0017316417
serve_elo_sum,0.0017311847
surface_win_rate_last_25_diff,0.0017287132
quality_weighted_win_rate_last_50_diff,0.001723859
tourney_matches_sum,0.0017233667
season_surface_point_win_rate_sum,0.001721356
ace_rate_last_25_sum,0.0017203846
same_nationality_win_rate_sum,0.0017193235
return_points_won_rate_last_10_sum,0.0017172528
tourney_level_A,0.0017132448
reliability_tourney_matches_max,0.0017129352
round_stage_progress,0.0017123248
rank_points_diff,0.0017076212
tiebreak_win_rate_last_25_diff,0.0017057069
performance_vs_expectation_last_100_diff,0.0017032146
break_conversion_rate_last_25_diff,0.0017026018
surface_win_rate_last_10_diff,0.0017021366
service_points_won_rate_last_50_sum,0.0017016866
tourney_win_rate_diff,0.0017007224
reliability_matches_last_30_days_imbalance,0.0016985207
days_since_last_tourney_match_diff,0.0016982966
minutes_avg_last_10_sum,0.0016949136
quality_weighted_performance_vs_expectation_last_100_diff,0.0016943091
quality_weighted_win_rate_last_25_diff,0.001694011
season_opponent_elo_avg_sum,0.0016928236
season_surface_performance_vs_expectation_diff,0.0016913712
service_points_won_rate_last_10_sum,0.0016907919
quality_weighted_point_win_rate_last_50_sum,0.0016844571
first_in_rate_last_25_sum,0.0016817498
career_matches_diff,0.0016788943
reliability_season_surface_matches_min,0.001677629
serve_return_gap_sum,0.0016689538
rank_change_91_days_sum,0.0016669957
service_points_won_rate_last_100_sum,0.0016663468
second_won_rate_last_10_diff,0.001663444
quality_weighted_point_win_rate_last_25_sum,0.0016631972
game_margin_avg_last_100_sum,0.0016625077
surface_performance_vs_expectation_last_25_sum,0.001660821
best_of_3_matches_diff,0.0016596501
surface_point_win_rate_last_10_sum,0.0016585209
rank_points_change_28_days_diff,0.0016579235
service_points_won_rate_last_25_diff,0.0016575914
opponent_elo_avg_last_100_sum,0.0016572183
season_return_points_won_rate_sum,0.0016565478
quality_weighted_win_rate_last_10_sum,0.0016552513
surface_return_points_won_rate_last_10_sum,0.0016539374
surface_return_points_won_rate_last_25_diff,0.0016537694
minutes_last_14_days_diff,0.001653169
first_won_rate_last_100_sum,0.0016511682
point_win_rate_last_10_sum,0.0016500986
straight_set_win_pct_last_25_sum,0.0016493754
rank_change_28_days_sum,0.0016493521
surface_h2h_total,0.001648595
season_surface_share_diff,0.0016449795
first_won_rate_last_50_sum,0.0016445895
surface_game_margin_avg_last_25_sum,0.001644027
tiebreak_win_rate_last_100_sum,0.001642381
second_won_rate_last_50_sum,0.0016420184
first_won_rate_last_10_sum,0.0016402866
quality_weighted_win_rate_last_10_diff,0.0016394238
season_return_points_won_rate_diff,0.0016392325
elo_delta_avg_last_10_diff,0.0016370751
point_win_rate_std_last_10_sum,0.0016364635
round_R16,0.0016361615
best_of_5_matches_sum,0.0016352406
hand_left_diff,0.001633424
tiebreak_win_rate_last_10_diff,0.0016329837
quality_weighted_performance_vs_expectation_last_100_sum,0.0016312654
surface_tiebreak_win_rate_last_25_diff,0.0016305209
tiebreak_win_rate_last_100_diff,0.0016288315
season_surface_win_rate_diff,0.0016277283
surface_return_elo_shrunk_diff,0.0016273946
break_conversion_rate_last_25_sum,0.0016270373
break_conversion_rate_last_100_sum,0.0016256795
win_rate_last_30_days_sum,0.0016248497
ace_rate_last_50_sum,0.0016247255
season_surface_win_rate_sum,0.0016217604
best_of_3_matches_sum,0.0016216317
first_in_rate_last_10_sum,0.0016200781
same_nationality_win_rate_gap_sum,0.0016191694
vs_opp_hand_win_rate_sum,0.0016182469
win_rate_last_100_diff,0.001616836
df_rate_last_25_sum,0.0016166345
round_QF,0.0016165463
point_win_rate_last_25_sum,0.0016151547
surface_tiebreak_win_rate_last_10_sum,0.0016137969
service_points_won_rate_last_50_diff,0.0016126971
second_won_rate_last_10_sum,0.0016126712
best_of_3_win_rate_sum,0.0016122684
ace_rate_last_10_sum,0.0016103619
career_win_rate_diff,0.0016102359
return_elo_diff,0.0016097323
reliability_season_matches_min,0.0016091673
straight_set_win_pct_last_100_sum,0.0016058218
elo_delta_avg_last_100_sum,0.0016049733
surface_serve_elo_shrunk_sum,0.0016049226
ace_rate_last_25_diff,0.0016037327
surface_performance_vs_expectation_last_10_diff,0.0016036275
first_won_rate_last_10_diff,0.0016031654
season_opponent_elo_avg_diff,0.001601696
best_of_5_win_rate_sum,0.0016011848
season_point_win_rate_sum,0.001600163
reliability_career_matches_max,0.0016000007
straight_set_win_pct_last_25_diff,0.001599473
surface_service_points_won_rate_last_10_sum,0.0015987437
quality_weighted_performance_vs_expectation_last_10_diff,0.0015981536
return_points_won_rate_last_50_sum,0.0015968507
round_R64,0.0015956411
surface_vs_opp_hand_matches_sum,0.00159337
break_save_rate_last_25_diff,0.0015933367
straight_set_win_pct_last_10_diff,0.0015891612
reliability_days_since_last_tourney_match_max,0.0015869387
ace_rate_last_50_diff,0.0015869372
format_matches_diff,0.0015868129
second_won_rate_last_100_diff,0.0015867528
second_won_rate_last_25_diff,0.0015857393
surface_win_rate_last_10_sum,0.0015855472
surface_matches_sum,0.0015845755
surface_serve_elo_sum,0.0015845525
reliability_season_matches_max,0.0015831959
first_in_rate_last_100_sum,0.0015829904
return_points_won_rate_last_100_diff,0.0015821503
quality_weighted_win_rate_last_100_diff,0.0015813637
break_conversion_rate_last_50_diff,0.0015769384
df_rate_last_50_diff,0.0015756194
surface_vs_opp_ioc_win_rate_gap_sum,0.0015756037
win_rate_last_14_days_sum,0.0015748271
minutes_last_30_days_sum,0.0015738168
df_rate_last_100_diff,0.0015729063
return_points_won_rate_last_25_sum,0.0015728021
vs_opp_hand_point_win_rate_diff,0.0015727157
quality_weighted_performance_vs_expectation_last_25_diff,0.0015724784
format_matches_sum,0.0015714646
avg_sets_played_last_100_sum,0.0015698243
performance_vs_expectation_last_25_diff,0.0015698194
surface_tiebreak_win_rate_last_10_diff,0.0015689421
hand_same_known,0.0015680464
win_rate_last_30_days_diff,0.0015673086
point_win_rate_std_last_50_diff,0.0015655142
surface_vs_opp_ioc_matches_sum,0.0015650148
reliability_surface_matches_max,0.0015625736
service_points_won_rate_last_100_diff,0.0015622554
round_stage_index,0.0015612423
surface_game_margin_avg_last_10_sum,0.0015611865
df_rate_last_100_sum,0.0015603362
df_rate_last_10_diff,0.0015601197
game_margin_avg_last_10_sum,0.001559258
minutes_avg_last_25_sum,0.0015577535
opponent_surface_elo_avg_last_25_diff,0.001557001
ace_rate_last_100_diff,0.0015569817
opponent_elo_avg_last_25_sum,0.0015569429
second_won_rate_last_100_sum,0.0015557298
vs_opp_ioc_matches_sum,0.0015555331
minutes_last_14_days_sum,0.0015554981
surface_performance_vs_expectation_last_25_diff,0.0015551941
vs_opp_hand_matches_sum,0.0015547026
minutes_avg_last_50_diff,0.0015529384
surface_elo_shrunk_sum,0.0015521602
opponent_surface_elo_avg_last_100_sum,0.0015517959
best_of_5_matches_diff,0.0015515931
surface_elo_delta_avg_last_25_sum,0.0015513714
vs_opp_hand_win_rate_diff,0.0015490474
surface_elo_delta_avg_last_100_diff,0.001547927
point_win_rate_std_last_100_diff,0.001546053
surface_elo_gap_diff,0.0015456782
break_save_rate_last_100_sum,0.0015455523
break_save_rate_last_50_diff,0.0015455078
surface_vs_opp_ioc_win_rate_sum,0.0015434037
surface_vs_opp_hand_point_win_rate_sum,0.0015421805
performance_vs_expectation_last_100_sum,0.0015421772
surface_win_rate_last_25_sum,0.0015421401
first_in_rate_last_10_diff,0.0015418185
performance_vs_expectation_std_last_25_diff,0.0015415334
return_points_won_rate_last_50_diff,0.0015395221
first_won_rate_last_100_diff,0.0015361033
quality_weighted_point_win_rate_last_100_diff,0.0015355102
surface_vs_opp_hand_win_rate_sum,0.0015354245
avg_sets_played_last_100_diff,0.0015349068
quality_weighted_point_win_rate_last_50_diff,0.0015325714
reliability_days_since_last_surface_match_imbalance,0.0015319228
quality_weighted_performance_vs_expectation_last_10_sum,0.001529103
surface_avg_sets_played_last_10_sum,0.001528787
format_win_rate_diff,0.001525918
break_save_rate_last_25_sum,0.0015257364
first_won_rate_last_25_diff,0.0015251564
service_points_won_rate_last_25_sum,0.001523545
df_rate_last_10_sum,0.0015235393
surface_vs_opp_hand_win_rate_diff,0.0015230484
performance_vs_expectation_std_last_100_sum,0.0015217942
reliability_career_matches_imbalance,0.0015213008
minutes_avg_last_50_sum,0.0015209886
performance_vs_expectation_std_last_25_sum,0.001519009
surface_return_points_won_rate_last_25_sum,0.001518323
vs_opp_ioc_win_rate_sum,0.0015175166
season_surface_performance_vs_expectation_sum,0.0015165568
tourney_level_500,0.001516419
surface_minutes_avg_last_10_sum,0.001515709
quality_weighted_win_rate_last_50_sum,0.0015148151
same_nationality_win_rate_diff,0.0015146275
minutes_avg_last_100_sum,0.0015138523
performance_vs_expectation_std_last_10_diff,0.0015135262
df_rate_last_25_diff,0.0015116851
break_save_rate_last_10_sum,0.0015109965
tourney_level_M,0.0015097884
surface_elo_delta_avg_last_50_diff,0.0015096342
surface_return_elo_sum,0.0015091024
surface_minutes_avg_last_10_diff,0.001508836
same_nationality_matches_sum,0.0015081222
rank_points_change_91_days_diff,0.0015079468
minutes_avg_last_100_diff,0.0015068161
surface_minutes_avg_last_25_sum,0.0015067903
win_rate_last_10_diff,0.0015061201
break_conversion_rate_last_100_diff,0.0015051597
surface_performance_vs_expectation_last_10_sum,0.0015028311
season_matches_sum,0.0015025719
season_surface_matches_sum,0.0015023422
tiebreak_win_rate_last_10_sum,0.0015023308
quality_weighted_win_rate_last_25_sum,0.0014990566
surface_service_points_won_rate_last_25_sum,0.0014987026
reliability_matches_last_14_days_imbalance,0.0014971163
opponent_elo_avg_last_10_sum,0.0014968751
surface_tiebreak_win_rate_last_25_sum,0.0014954504
current_streak_sum,0.0014953433
rank_points_change_91_days_sum,0.0014911268
break_save_rate_last_50_sum,0.0014910722
point_win_rate_std_last_10_diff,0.0014896505
vs_opp_hand_matches_diff,0.0014893435
reliability_matches_last_30_days_max,0.0014870563
reliability_days_since_last_match_min,0.0014865218
best_of_5_win_rate_diff,0.0014856104
opponent_surface_elo_avg_last_50_sum,0.0014855177
first_in_rate_last_50_diff,0.00148412
surface_avg_sets_played_last_10_diff,0.0014834307
first_in_rate_last_100_diff,0.0014819783
performance_vs_expectation_std_last_10_sum,0.0014819375
reliability_tourney_matches_imbalance,0.0014787742
performance_vs_expectation_std_last_50_sum,0.0014756873
matches_last_14_days_sum,0.0014751038
season_performance_vs_expectation_diff,0.0014745326
elo_delta_avg_last_25_sum,0.0014740238
vs_opp_hand_performance_vs_expectation_sum,0.0014740195
days_since_last_tourney_match_sum,0.001473631
tiebreak_win_rate_last_50_sum,0.001473103
same_nationality_matches_diff,0.0014726517
surface_elo_gap_sum,0.0014722986
surface_minutes_avg_last_25_diff,0.0014720001
point_win_rate_last_100_diff,0.0014717479
height_diff,0.0014710018
first_in_rate_last_50_sum,0.0014702282
surface_avg_sets_played_last_25_sum,0.0014702261
vs_opp_hand_performance_vs_expectation_diff,0.0014702085
surface_return_elo_shrunk_sum,0.0014692142
ace_rate_last_10_diff,0.0014656362
game_margin_avg_last_50_sum,0.0014643589
best_of_5_win_rate_gap_sum,0.0014640043
surface_straight_set_win_pct_last_10_sum,0.0014636472
h2h_total,0.0014635002
opponent_elo_avg_last_50_sum,0.0014620632
days_since_last_surface_match_sum,0.0014605869
elo_delta_avg_last_10_sum,0.0014601722
point_win_rate_std_last_100_sum,0.0014596084
surface_elo_delta_avg_last_25_diff,0.0014587266
break_save_rate_last_100_diff,0.0014574057
opponent_surface_elo_avg_last_10_sum,0.0014571301
vs_opp_hand_point_win_rate_sum,0.0014569213
format_win_rate_gap_sum,0.0014565809
point_win_rate_std_last_50_sum,0.0014562524
round_R32,0.0014555341
best_of_5_win_rate_gap_diff,0.0014523976
matches_last_30_days_sum,0.0014489053
format_win_rate_sum,0.0014478262
current_streak_diff,0.0014477123
first_won_rate_last_25_sum,0.0014469819
surface_avg_sets_played_last_25_diff,0.0014449763
point_win_rate_std_last_25_sum,0.001443676
second_won_rate_last_50_diff,0.0014434742
break_conversion_rate_last_50_sum,0.0014430956
performance_vs_expectation_last_10_diff,0.0014430751
season_performance_vs_expectation_sum,0.0014429175
surface_vs_opp_hand_performance_vs_expectation_sum,0.0014419158
win_rate_last_14_days_diff,0.001441807
rank_points_change_28_days_sum,0.0014392125
reliability_days_since_last_tourney_match_imbalance,0.0014389055
vs_opp_ioc_matches_diff,0.0014379245
surface_streak_diff,0.0014377218
elo_delta_avg_last_25_diff,0.0014374345
surface_elo_delta_avg_last_10_diff,0.0014373428
first_in_rate_last_25_diff,0.0014369438
quality_weighted_performance_vs_expectation_last_25_sum,0.0014362498
second_won_rate_last_25_sum,0.0014361971
seed_diff,0.0014345254
format_win_rate_gap_diff,0.0014327505
avg_sets_played_last_25_diff,0.0014325689
return_elo_sum,0.0014317113
performance_vs_expectation_last_10_sum,0.0014315952
reliability_season_surface_matches_max,0.0014306867
vs_opp_ioc_win_rate_gap_diff,0.001430202
vs_opp_ioc_win_rate_gap_sum,0.0014295174
reliability_tourney_matches_min,0.001428934
surface_straight_set_win_pct_last_25_sum,0.0014282909
surface_vs_opp_ioc_win_rate_diff,0.0014278875
straight_set_win_pct_last_50_diff,0.0014274232
reliability_days_since_last_surface_match_max,0.0014273004
tiebreak_win_rate_last_25_sum,0.0014261957
first_won_rate_last_50_diff,0.0014260501
surface_elo_delta_avg_last_50_sum,0.0014257419
point_win_rate_std_last_25_diff,0.0014254868
vs_opp_ioc_win_rate_diff,0.0014249851
break_conversion_rate_last_10_sum,0.001424137
surface_serve_return_gap_diff,0.0014204255
break_conversion_rate_last_10_diff,0.0014196404
season_win_rate_sum,0.0014181241
surface_serve_return_gap_sum,0.001417559
surface_vs_opp_ioc_matches_diff,0.0014155525
performance_vs_expectation_last_50_sum,0.001412956
minutes_avg_last_10_diff,0.0014113871
avg_sets_played_last_50_sum,0.0014110088
minutes_avg_last_25_diff,0.0014046149
days_since_last_match_sum,0.0014037704
avg_sets_played_last_10_sum,0.0014006668
break_save_rate_last_10_diff,0.0013983035
surface_vs_opp_ioc_win_rate_gap_diff,0.0013952286
same_nationality_win_rate_gap_diff,0.0013952256
season_surface_share_sum,0.0013946627
hand_left_sum,0.0013936764
season_win_rate_diff,0.0013925201
avg_sets_played_last_25_sum,0.0013886988
quality_weighted_performance_vs_expectation_last_50_sum,0.0013852215
reliability_days_since_last_match_max,0.0013828394
reliability_days_since_last_match_imbalance,0.0013772737
surface_elo_delta_avg_last_100_sum,0.0013743939
matches_last_14_days_diff,0.001373219
surface_Hard,0.0013705964
avg_sets_played_last_50_diff,0.0013698714
reliability_days_since_last_tourney_match_min,0.0013693647
season_matches_diff,0.0013608446
season_service_points_won_rate_sum,0.0013582418
avg_sets_played_last_10_diff,0.0013574429
reliability_matches_last_14_days_max,0.0013554232
reliability_days_since_last_surface_match_min,0.0013533245
performance_vs_expectation_last_25_sum,0.0013430559
reliability_season_matches_imbalance,0.0013427149
elo_delta_avg_last_50_sum,0.0013395288
opponent_surface_elo_avg_last_25_sum,0.0013337063
surface_streak_sum,0.0013311075
tourney_win_rate_sum,0.0013286234
serve_return_gap_diff,0.0013268073
round_SF,0.0013239122
straight_set_win_pct_last_10_sum,0.0013157743
surface_elo_delta_avg_last_10_sum,0.001297488
hand_lefty_matchup,0.0011293306
tourney_level_250,0.0
tourney_level_F,0.0
surface_Unknown,0.0
same_nationality,0.0
tourney_level_O,0.0
round_BR,0.0
round_ER,0.0
round_F,0.0
round_R128,0.0
